Freq [GHz],g1(mm),w1(mm),Dielectric Constant,"S(1,1) in dB"
47.6,1.9,0.6,2.2,-8.978417827
47.7,1.9,0.6,2.2,-9.191037209
47.8,1.9,0.6,2.2,-9.397728753
47.9,1.9,0.6,2.2,-9.59516066
48,1.9,0.6,2.2,-9.779976185
48.1,1.9,0.6,2.2,-9.948937667
48.2,1.9,0.6,2.2,-10.09908503
48.3,1.9,0.6,2.2,-10.22789436
48.4,1.9,0.6,2.2,-10.33341924
48.5,1.9,0.6,2.2,-10.41439696
48.6,1.9,0.6,2.2,-10.4703057
48.7,1.9,0.6,2.2,-10.501365
48.8,1.9,0.6,2.2,-10.50848082
48.9,1.9,0.6,2.2,-10.49314431
49,1.9,0.6,2.2,-10.45729985
20,1.9,0.5,2.2,-1.686480119
20.1,1.9,0.5,2.2,-1.676581515
20.2,1.9,0.5,2.2,-1.670688046
20.3,1.9,0.5,2.2,-1.668947684
20.4,1.9,0.5,2.2,-1.671495038
20.5,1.9,0.5,2.2,-1.678454494
20.6,1.9,0.5,2.2,-1.689945293
20.7,1.9,0.5,2.2,-1.706088599
20.8,1.9,0.5,2.2,-1.727016527
20.9,1.9,0.5,2.2,-1.752883087
21,1.9,0.5,2.2,-1.783876948
21.1,1.9,0.5,2.2,-1.820236004
21.2,1.9,0.5,2.2,-1.86226377
21.3,1.9,0.5,2.2,-1.910347842
21.4,1.9,0.5,2.2,-1.964980783
21.5,1.9,0.5,2.2,-2.0267841
21.6,1.9,0.5,2.2,-2.096536276
21.7,1.9,0.5,2.2,-2.175206158
21.8,1.9,0.5,2.2,-2.263993522
21.9,1.9,0.5,2.2,-2.364379146
22,1.9,0.5,2.2,-2.478187458
22.1,1.9,0.5,2.2,-2.607665694
22.2,1.9,0.5,2.2,-2.755584605
22.3,1.9,0.5,2.2,-2.925367036
22.4,1.9,0.5,2.2,-3.121252167
22.5,1.9,0.5,2.2,-3.348504448
22.6,1.9,0.5,2.2,-3.613676589
22.7,1.9,0.5,2.2,-3.924933309
22.8,1.9,0.5,2.2,-4.292432072
22.9,1.9,0.5,2.2,-4.728727
23,1.9,0.5,2.2,-5.24908358
23.1,1.9,0.5,2.2,-5.871391786
23.2,1.9,0.5,2.2,-6.614857831
23.3,1.9,0.5,2.2,-7.495373868
23.4,1.9,0.5,2.2,-8.512388821
23.5,1.9,0.5,2.2,-9.616203187
23.6,1.9,0.5,2.2,-10.6433835
23.7,1.9,0.5,2.2,-11.26242166
23.8,1.9,0.5,2.2,-11.128312
23.9,1.9,0.5,2.2,-10.25899965
24,1.9,0.5,2.2,-9.019102329
24.1,1.9,0.5,2.2,-7.740908137
24.2,1.9,0.5,2.2,-6.584881741
24.3,1.9,0.5,2.2,-5.598030894
24.4,1.9,0.5,2.2,-4.777776027
24.5,1.9,0.5,2.2,-4.104368743
24.6,1.9,0.5,2.2,-3.554358946
24.7,1.9,0.5,2.2,-3.105679811
24.8,1.9,0.5,2.2,-2.739284428
24.9,1.9,0.5,2.2,-2.439394838
25,1.9,0.5,2.2,-2.193221796
25.1,1.9,0.5,2.2,-1.990519186
25.2,1.9,0.5,2.2,-1.82312628
25.3,1.9,0.5,2.2,-1.684557594
25.4,1.9,0.5,2.2,-1.569658123
25.5,1.9,0.5,2.2,-1.47432337
25.6,1.9,0.5,2.2,-1.395276512
25.7,1.9,0.5,2.2,-1.329893071
25.8,1.9,0.5,2.2,-1.276063835
25.9,1.9,0.5,2.2,-1.232088007
26,1.9,0.5,2.2,-1.196589972
26.1,1.9,0.5,2.2,-1.168454417
26.2,1.9,0.5,2.2,-1.146775675
26.3,1.9,0.5,2.2,-1.130818086
26.4,1.9,0.5,2.2,-1.119984936
26.5,1.9,0.5,2.2,-1.113794049
26.6,1.9,0.5,2.2,-1.111858614
26.7,1.9,0.5,2.2,-1.113872121
26.8,1.9,0.5,2.2,-1.119596555
26.9,1.9,0.5,2.2,-1.128853206
27,1.9,0.5,2.2,-1.14151559
27.1,1.9,0.5,2.2,-1.157504093
27.2,1.9,0.5,2.2,-1.176782069
27.3,1.9,0.5,2.2,-1.199353152
27.4,1.9,0.5,2.2,-1.225259636
27.5,1.9,0.5,2.2,-1.254581808
27.6,1.9,0.5,2.2,-1.287438147
27.7,1.9,0.5,2.2,-1.323986353
27.8,1.9,0.5,2.2,-1.364425191
27.9,1.9,0.5,2.2,-1.408997144
28,1.9,0.5,2.2,-1.457991912
28.1,1.9,0.5,2.2,-1.5117508
28.2,1.9,0.5,2.2,-1.570672065
28.3,1.9,0.5,2.2,-1.635217305
28.4,1.9,0.5,2.2,-1.705918989
28.5,1.9,0.5,2.2,-1.783389239
28.6,1.9,0.5,2.2,-1.868330005
28.7,1.9,0.5,2.2,-1.961544739
28.8,1.9,0.5,2.2,-2.063951722
28.9,1.9,0.5,2.2,-2.176599142
29,1.9,0.5,2.2,-2.300682009
29.1,1.9,0.5,2.2,-2.437560916
29.2,1.9,0.5,2.2,-2.588782577
29.3,1.9,0.5,2.2,-2.756101881
29.4,1.9,0.5,2.2,-2.94150497
29.5,1.9,0.5,2.2,-3.147232498
29.6,1.9,0.5,2.2,-3.375801638
29.7,1.9,0.5,2.2,-3.630024651
29.8,1.9,0.5,2.2,-3.913020582
29.9,1.9,0.5,2.2,-4.228214848
30,1.9,0.5,2.2,-4.579318671
30.1,1.9,0.5,2.2,-4.97027585
30.2,1.9,0.5,2.2,-5.405157238
30.3,1.9,0.5,2.2,-5.887971557
30.4,1.9,0.5,2.2,-6.422341989
30.5,1.9,0.5,2.2,-7.010966968
30.6,1.9,0.5,2.2,-7.65473594
30.7,1.9,0.5,2.2,-8.35130602
30.8,1.9,0.5,2.2,-9.092883675
30.9,1.9,0.5,2.2,-9.862983466
31,1.9,0.5,2.2,-10.63229782
31.1,1.9,0.5,2.2,-11.35498536
31.2,1.9,0.5,2.2,-11.96902293
31.3,1.9,0.5,2.2,-12.4063129
31.4,1.9,0.5,2.2,-12.6147323
31.5,1.9,0.5,2.2,-12.58176895
31.6,1.9,0.5,2.2,-12.34063559
31.7,1.9,0.5,2.2,-11.95311831
31.8,1.9,0.5,2.2,-11.4846839
31.9,1.9,0.5,2.2,-10.9883757
32,1.9,0.5,2.2,-10.50052319
32.1,1.9,0.5,2.2,-10.04315034
32.2,1.9,0.5,2.2,-9.628180925
32.3,1.9,0.5,2.2,-9.261139242
32.4,1.9,0.5,2.2,-8.943790426
32.5,1.9,0.5,2.2,-8.67584795
32.6,1.9,0.5,2.2,-8.456019859
32.7,1.9,0.5,2.2,-8.282627246
32.8,1.9,0.5,2.2,-8.153957972
32.9,1.9,0.5,2.2,-8.068460107
33,1.9,0.5,2.2,-8.024839295
33.1,1.9,0.5,2.2,-8.022098732
33.2,1.9,0.5,2.2,-8.059544671
33.3,1.9,0.5,2.2,-8.136770903
33.4,1.9,0.5,2.2,-8.253629812
33.5,1.9,0.5,2.2,-8.410194038
33.6,1.9,0.5,2.2,-8.60671037
33.7,1.9,0.5,2.2,-8.843545692
33.8,1.9,0.5,2.2,-9.121123133
33.9,1.9,0.5,2.2,-9.439844585
34,1.9,0.5,2.2,-9.799993192
34.1,1.9,0.5,2.2,-10.20160575
34.2,1.9,0.5,2.2,-10.64429999
34.3,1.9,0.5,2.2,-11.12703494
34.4,1.9,0.5,2.2,-11.64777457
34.5,1.9,0.5,2.2,-12.20301727
34.6,1.9,0.5,2.2,-12.77931319
34.7,1.9,0.5,2.2,-13.36802484
34.8,1.9,0.5,2.2,-13.94337369
34.9,1.9,0.5,2.2,-14.46931367
35,1.9,0.5,2.2,-14.90204034
35.1,1.9,0.5,2.2,-15.19804312
35.2,1.9,0.5,2.2,-15.32692477
35.3,1.9,0.5,2.2,-15.28294223
35.4,1.9,0.5,2.2,-15.08733777
35.5,1.9,0.5,2.2,-14.77969013
35.6,1.9,0.5,2.2,-14.40472286
35.7,1.9,0.5,2.2,-14.00214167
35.8,1.9,0.5,2.2,-13.60221482
35.9,1.9,0.5,2.2,-13.22566823
36,1.9,0.5,2.2,-12.88552474
36.1,1.9,0.5,2.2,-12.58928901
36.2,1.9,0.5,2.2,-12.34078541
36.3,1.9,0.5,2.2,-12.14148769
36.4,1.9,0.5,2.2,-11.99139596
36.5,1.9,0.5,2.2,-11.88957079
36.6,1.9,0.5,2.2,-11.83442683
36.7,1.9,0.5,2.2,-11.82386599
36.8,1.9,0.5,2.2,-11.85530955
36.9,1.9,0.5,2.2,-11.92567421
37,1.9,0.5,2.2,-12.03132753
37.1,1.9,0.5,2.2,-12.16805284
37.2,1.9,0.5,2.2,-12.33104943
37.3,1.9,0.5,2.2,-12.51498952
37.4,1.9,0.5,2.2,-12.71414714
37.5,1.9,0.5,2.2,-12.92260463
37.6,1.9,0.5,2.2,-13.13452966
37.7,1.9,0.5,2.2,-13.34450045
37.8,1.9,0.5,2.2,-13.54784256
37.9,1.9,0.5,2.2,-13.74093169
38,1.9,0.5,2.2,-13.92141689
38.1,1.9,0.5,2.2,-14.0883311
38.2,1.9,0.5,2.2,-14.2420767
38.3,1.9,0.5,2.2,-14.38429843
38.4,1.9,0.5,2.2,-14.51767592
38.5,1.9,0.5,2.2,-14.64567817
38.6,1.9,0.5,2.2,-14.77232159
38.7,1.9,0.5,2.2,-14.90196366
38.8,1.9,0.5,2.2,-15.03915178
38.9,1.9,0.5,2.2,-15.18853481
39,1.9,0.5,2.2,-15.35483629
39.1,1.9,0.5,2.2,-15.54288436
39.2,1.9,0.5,2.2,-15.75769294
39.3,1.9,0.5,2.2,-16.0045915
39.4,1.9,0.5,2.2,-16.28940617
39.5,1.9,0.5,2.2,-16.61870219
39.6,1.9,0.5,2.2,-17.00010879
39.7,1.9,0.5,2.2,-17.44276428
39.8,1.9,0.5,2.2,-17.95794606
39.9,1.9,0.5,2.2,-18.55999824
40,1.9,0.5,2.2,-19.26775873
40.1,1.9,0.5,2.2,-20.10686628
40.2,1.9,0.5,2.2,-21.11371038
40.3,1.9,0.5,2.2,-22.34268133
40.4,1.9,0.5,2.2,-23.88070206
40.5,1.9,0.5,2.2,-25.87996676
40.6,1.9,0.5,2.2,-28.64480711
40.7,1.9,0.5,2.2,-32.9241609
40.8,1.9,0.5,2.2,-40.96549181
40.9,1.9,0.5,2.2,-38.51337784
41,1.9,0.5,2.2,-31.23471552
41.1,1.9,0.5,2.2,-27.05766184
41.2,1.9,0.5,2.2,-24.16244118
41.3,1.9,0.5,2.2,-21.94882943
41.4,1.9,0.5,2.2,-20.15993088
41.5,1.9,0.5,2.2,-18.66321451
41.6,1.9,0.5,2.2,-17.38149609
41.7,1.9,0.5,2.2,-16.26583972
41.8,1.9,0.5,2.2,-15.28318611
41.9,1.9,0.5,2.2,-14.41005922
42,1.9,0.5,2.2,-13.62909513
42.1,1.9,0.5,2.2,-12.92700441
42.2,1.9,0.5,2.2,-12.2933159
42.3,1.9,0.5,2.2,-11.71957098
42.4,1.9,0.5,2.2,-11.19879014
42.5,1.9,0.5,2.2,-10.72511007
42.6,1.9,0.5,2.2,-10.29353108
42.7,1.9,0.5,2.2,-9.899737565
42.8,1.9,0.5,2.2,-9.539967849
42.9,1.9,0.5,2.2,-9.210917984
43,1.9,0.5,2.2,-8.90966925
43.1,1.9,0.5,2.2,-8.633632402
43.2,1.9,0.5,2.2,-8.380503934
43.3,1.9,0.5,2.2,-8.148231095
43.4,1.9,0.5,2.2,-7.934983393
43.5,1.9,0.5,2.2,-7.739129022
43.6,1.9,0.5,2.2,-7.559215091
43.7,1.9,0.5,2.2,-7.393950895
43.8,1.9,0.5,2.2,-7.242193669
43.9,1.9,0.5,2.2,-7.10293644
44,1.9,0.5,2.2,-6.97529767
44.1,1.9,0.5,2.2,-6.858512489
44.2,1.9,0.5,2.2,-6.75192533
44.3,1.9,0.5,2.2,-6.654983825
44.4,1.9,0.5,2.2,-6.567233809
44.5,1.9,0.5,2.2,-6.488315295
44.6,1.9,0.5,2.2,-6.417959248
44.7,1.9,0.5,2.2,-6.355984962
44.8,1.9,0.5,2.2,-6.302297791
44.9,1.9,0.5,2.2,-6.25688694
45,1.9,0.5,2.2,-6.219822922
45.1,1.9,0.5,2.2,-6.191254263
45.2,1.9,0.5,2.2,-6.171402892
45.3,1.9,0.5,2.2,-6.160557672
45.4,1.9,0.5,2.2,-6.159065437
45.5,1.9,0.5,2.2,-6.167319005
45.6,1.9,0.5,2.2,-6.185741733
45.7,1.9,0.5,2.2,-6.214768463
45.8,1.9,0.5,2.2,-6.254823096
45.9,1.9,0.5,2.2,-6.306293586
46,1.9,0.5,2.2,-6.369505742
46.1,1.9,0.5,2.2,-6.444697859
46.2,1.9,0.5,2.2,-6.531998662
46.3,1.9,0.5,2.2,-6.631411218
46.4,1.9,0.5,2.2,-6.742805133
46.5,1.9,0.5,2.2,-6.865918552
46.6,1.9,0.5,2.2,-7.000370077
46.7,1.9,0.5,2.2,-7.14567905
46.8,1.9,0.5,2.2,-7.301290926
46.9,1.9,0.5,2.2,-7.466603027
47,1.9,0.5,2.2,-7.640985156
47.1,1.9,0.5,2.2,-7.823789502
47.2,1.9,0.5,2.2,-8.014344945
47.3,1.9,0.5,2.2,-8.211932192
47.4,1.9,0.5,2.2,-8.415737903
47.5,1.9,0.5,2.2,-8.624787962
47.6,1.9,0.5,2.2,-8.837862321
47.7,1.9,0.5,2.2,-9.053396494
47.8,1.9,0.5,2.2,-9.269378084
47.9,1.9,0.5,2.2,-9.483250838
48,1.9,0.5,2.2,-9.691843626
48.1,1.9,0.5,2.2,-9.891346601
48.2,1.9,0.5,2.2,-10.07736007
48.3,1.9,0.5,2.2,-10.24504035
48.4,1.9,0.5,2.2,-10.38935794
48.5,1.9,0.5,2.2,-10.50546373
48.6,1.9,0.5,2.2,-10.58913065
48.7,1.9,0.5,2.2,-10.63720692
48.8,1.9,0.5,2.2,-10.64799597
48.9,1.9,0.5,2.2,-10.62147994
49,1.9,0.5,2.2,-10.55933364
20,1.9,0.4,2.2,-1.760426677
20.1,1.9,0.4,2.2,-1.712927051
20.2,1.9,0.4,2.2,-1.672662208
20.3,1.9,0.4,2.2,-1.639458494
20.4,1.9,0.4,2.2,-1.613145185
20.5,1.9,0.4,2.2,-1.59355438
20.6,1.9,0.4,2.2,-1.580523188
20.7,1.9,0.4,2.2,-1.573898179
20.8,1.9,0.4,2.2,-1.573541983
20.9,1.9,0.4,2.2,-1.579341886
21,1.9,0.4,2.2,-1.591220202
21.1,1.9,0.4,2.2,-1.609146237
21.2,1.9,0.4,2.2,-1.633149728
21.3,1.9,0.4,2.2,-1.663335739
21.4,1.9,0.4,2.2,-1.699901172
21.5,1.9,0.4,2.2,-1.74315325
21.6,1.9,0.4,2.2,-1.793530599
21.7,1.9,0.4,2.2,-1.85162783
21.8,1.9,0.4,2.2,-1.918224892
21.9,1.9,0.4,2.2,-1.994322874
22,1.9,0.4,2.2,-2.081188439
22.1,1.9,0.4,2.2,-2.180409699
22.2,1.9,0.4,2.2,-2.293967079
22.3,1.9,0.4,2.2,-2.424323637
22.4,1.9,0.4,2.2,-2.574540293
22.5,1.9,0.4,2.2,-2.748422384
22.6,1.9,0.4,2.2,-2.950704453
22.7,1.9,0.4,2.2,-3.187279109
22.8,1.9,0.4,2.2,-3.465470922
22.9,1.9,0.4,2.2,-3.794342024
23,1.9,0.4,2.2,-4.184980294
23.1,1.9,0.4,2.2,-4.650635304
23.2,1.9,0.4,2.2,-5.206366628
23.3,1.9,0.4,2.2,-5.867404233
23.4,1.9,0.4,2.2,-6.644370578
23.5,1.9,0.4,2.2,-7.531352296
23.6,1.9,0.4,2.2,-8.479726069
23.7,1.9,0.4,2.2,-9.35368688
23.8,1.9,0.4,2.2,-9.902249234
23.9,1.9,0.4,2.2,-9.865473015
24,1.9,0.4,2.2,-9.219691397
24.1,1.9,0.4,2.2,-8.210263021
24.2,1.9,0.4,2.2,-7.112146563
24.3,1.9,0.4,2.2,-6.086646196
24.4,1.9,0.4,2.2,-5.195485962
24.5,1.9,0.4,2.2,-4.447987085
24.6,1.9,0.4,2.2,-3.831845236
24.7,1.9,0.4,2.2,-3.328057945
24.8,1.9,0.4,2.2,-2.917308331
24.9,1.9,0.4,2.2,-2.582370281
25,1.9,0.4,2.2,-2.308762004
25.1,1.9,0.4,2.2,-2.084672005
25.2,1.9,0.4,2.2,-1.900620712
25.3,1.9,0.4,2.2,-1.749062159
25.4,1.9,0.4,2.2,-1.62401018
25.5,1.9,0.4,2.2,-1.52071826
25.6,1.9,0.4,2.2,-1.435417723
25.7,1.9,0.4,2.2,-1.365109008
25.8,1.9,0.4,2.2,-1.307397617
25.9,1.9,0.4,2.2,-1.260366169
26,1.9,0.4,2.2,-1.222474979
26.1,1.9,0.4,2.2,-1.19248487
26.2,1.9,0.4,2.2,-1.169397227
26.3,1.9,0.4,2.2,-1.152407363
26.4,1.9,0.4,2.2,-1.140868191
26.5,1.9,0.4,2.2,-1.134261857
26.6,1.9,0.4,2.2,-1.132177596
26.7,1.9,0.4,2.2,-1.134294435
26.8,1.9,0.4,2.2,-1.140367727
26.9,1.9,0.4,2.2,-1.150218721
27,1.9,0.4,2.2,-1.163726591
27.1,1.9,0.4,2.2,-1.180822453
27.2,1.9,0.4,2.2,-1.201485037
27.3,1.9,0.4,2.2,-1.225737766
27.4,1.9,0.4,2.2,-1.253647049
27.5,1.9,0.4,2.2,-1.28532167
27.6,1.9,0.4,2.2,-1.320913172
27.7,1.9,0.4,2.2,-1.360617215
27.8,1.9,0.4,2.2,-1.40467588
27.9,1.9,0.4,2.2,-1.453380937
28,1.9,0.4,2.2,-1.507078142
28.1,1.9,0.4,2.2,-1.566172615
28.2,1.9,0.4,2.2,-1.631135415
28.3,1.9,0.4,2.2,-1.702511433
28.4,1.9,0.4,2.2,-1.780928754
28.5,1.9,0.4,2.2,-1.867109667
28.6,1.9,0.4,2.2,-1.961883518
28.7,1.9,0.4,2.2,-2.066201625
28.8,1.9,0.4,2.2,-2.18115447
28.9,1.9,0.4,2.2,-2.307991378
29,1.9,0.4,2.2,-2.448142875
29.1,1.9,0.4,2.2,-2.603245798
29.2,1.9,0.4,2.2,-2.775171147
29.3,1.9,0.4,2.2,-2.96605437
29.4,1.9,0.4,2.2,-3.178327442
29.5,1.9,0.4,2.2,-3.41475142
29.6,1.9,0.4,2.2,-3.678447217
29.7,1.9,0.4,2.2,-3.972920752
29.8,1.9,0.4,2.2,-4.302076156
29.9,1.9,0.4,2.2,-4.670206676
30,1.9,0.4,2.2,-5.081946258
30.1,1.9,0.4,2.2,-5.542153633
30.2,1.9,0.4,2.2,-6.055681689
30.3,1.9,0.4,2.2,-6.626952457
30.4,1.9,0.4,2.2,-7.259203557
30.5,1.9,0.4,2.2,-7.953185168
30.6,1.9,0.4,2.2,-8.704966196
30.7,1.9,0.4,2.2,-9.502402798
30.8,1.9,0.4,2.2,-10.31994774
30.9,1.9,0.4,2.2,-11.11244878
31,1.9,0.4,2.2,-11.81145072
31.1,1.9,0.4,2.2,-12.33210724
31.2,1.9,0.4,2.2,-12.59877006
31.3,1.9,0.4,2.2,-12.5813001
31.4,1.9,0.4,2.2,-12.31239176
31.5,1.9,0.4,2.2,-11.86789141
31.6,1.9,0.4,2.2,-11.33056648
31.7,1.9,0.4,2.2,-10.76607928
31.8,1.9,0.4,2.2,-10.21730291
31.9,1.9,0.4,2.2,-9.708458553
32,1.9,0.4,2.2,-9.251296665
32.1,1.9,0.4,2.2,-8.850119189
32.2,1.9,0.4,2.2,-8.505132282
32.3,1.9,0.4,2.2,-8.214489946
32.4,1.9,0.4,2.2,-7.97547995
32.5,1.9,0.4,2.2,-7.78518974
32.6,1.9,0.4,2.2,-7.640868892
32.7,1.9,0.4,2.2,-7.540118365
32.8,1.9,0.4,2.2,-7.480982732
32.9,1.9,0.4,2.2,-7.461989331
33,1.9,0.4,2.2,-7.482159508
33.1,1.9,0.4,2.2,-7.541006108
33.2,1.9,0.4,2.2,-7.638524904
33.3,1.9,0.4,2.2,-7.775183613
33.4,1.9,0.4,2.2,-7.951909393
33.5,1.9,0.4,2.2,-8.170073395
33.6,1.9,0.4,2.2,-8.431468485
33.7,1.9,0.4,2.2,-8.738272786
33.8,1.9,0.4,2.2,-9.092986442
33.9,1.9,0.4,2.2,-9.498320246
34,1.9,0.4,2.2,-9.957000155
34.1,1.9,0.4,2.2,-10.47142715
34.2,1.9,0.4,2.2,-11.04309167
34.3,1.9,0.4,2.2,-11.67157918
34.4,1.9,0.4,2.2,-12.35291797
34.5,1.9,0.4,2.2,-13.07694118
34.6,1.9,0.4,2.2,-13.82338936
34.7,1.9,0.4,2.2,-14.55702705
34.8,1.9,0.4,2.2,-15.22375877
34.9,1.9,0.4,2.2,-15.75289211
35,1.9,0.4,2.2,-16.07249058
35.1,1.9,0.4,2.2,-16.13748501
35.2,1.9,0.4,2.2,-15.95310095
35.3,1.9,0.4,2.2,-15.57212634
35.4,1.9,0.4,2.2,-15.06875333
35.5,1.9,0.4,2.2,-14.51200014
35.6,1.9,0.4,2.2,-13.95308972
35.7,1.9,0.4,2.2,-13.42481841
35.8,1.9,0.4,2.2,-12.94588318
35.9,1.9,0.4,2.2,-12.52564303
36,1.9,0.4,2.2,-12.16775642
36.1,1.9,0.4,2.2,-11.87258339
36.2,1.9,0.4,2.2,-11.63865728
36.3,1.9,0.4,2.2,-11.46354368
36.4,1.9,0.4,2.2,-11.34431867
36.5,1.9,0.4,2.2,-11.27781641
36.6,1.9,0.4,2.2,-11.26073819
36.7,1.9,0.4,2.2,-11.2896784
36.8,1.9,0.4,2.2,-11.36110122
36.9,1.9,0.4,2.2,-11.47128936
37,1.9,0.4,2.2,-11.61628008
37.1,1.9,0.4,2.2,-11.79180068
37.2,1.9,0.4,2.2,-11.99321562
37.3,1.9,0.4,2.2,-12.21549862
37.4,1.9,0.4,2.2,-12.45324447
37.5,1.9,0.4,2.2,-12.70073602
37.6,1.9,0.4,2.2,-12.95208005
37.7,1.9,0.4,2.2,-13.20141945
37.8,1.9,0.4,2.2,-13.44321745
37.9,1.9,0.4,2.2,-13.67259343
38,1.9,0.4,2.2,-13.88567179
38.1,1.9,0.4,2.2,-14.07989223
38.2,1.9,0.4,2.2,-14.2542279
38.3,1.9,0.4,2.2,-14.40927109
38.4,1.9,0.4,2.2,-14.54717272
38.5,1.9,0.4,2.2,-14.67145294
38.6,1.9,0.4,2.2,-14.78672568
38.7,1.9,0.4,2.2,-14.89839207
38.8,1.9,0.4,2.2,-15.01235442
38.9,1.9,0.4,2.2,-15.13478922
39,1.9,0.4,2.2,-15.27200045
39.1,1.9,0.4,2.2,-15.43035943
39.2,1.9,0.4,2.2,-15.61632864
39.3,1.9,0.4,2.2,-15.83656381
39.4,1.9,0.4,2.2,-16.09809133
39.5,1.9,0.4,2.2,-16.40856568
39.6,1.9,0.4,2.2,-16.77662354
39.7,1.9,0.4,2.2,-17.21236992
39.8,1.9,0.4,2.2,-17.72806032
39.9,1.9,0.4,2.2,-18.33909178
40,1.9,0.4,2.2,-19.06550134
40.1,1.9,0.4,2.2,-19.93433222
40.2,1.9,0.4,2.2,-20.98354229
40.3,1.9,0.4,2.2,-22.268752
40.4,1.9,0.4,2.2,-23.87527328
40.5,1.9,0.4,2.2,-25.93881706
40.6,1.9,0.4,2.2,-28.66520879
40.7,1.9,0.4,2.2,-32.13936953
40.8,1.9,0.4,2.2,-34.25121549
40.9,1.9,0.4,2.2,-31.40404238
41,1.9,0.4,2.2,-27.64919419
41.1,1.9,0.4,2.2,-24.66770497
41.2,1.9,0.4,2.2,-22.32473369
41.3,1.9,0.4,2.2,-20.42108655
41.4,1.9,0.4,2.2,-18.82753596
41.5,1.9,0.4,2.2,-17.46262965
41.6,1.9,0.4,2.2,-16.27303779
41.7,1.9,0.4,2.2,-15.22232346
41.8,1.9,0.4,2.2,-14.2847139
41.9,1.9,0.4,2.2,-13.44159046
42,1.9,0.4,2.2,-12.67948952
42.1,1.9,0.4,2.2,-11.98895668
42.2,1.9,0.4,2.2,-11.36382682
42.3,1.9,0.4,2.2,-10.80056683
42.4,1.9,0.4,2.2,-10.29734849
42.5,1.9,0.4,2.2,-9.852684394
42.6,1.9,0.4,2.2,-9.463862657
42.7,1.9,0.4,2.2,-9.125860675
42.8,1.9,0.4,2.2,-8.831398633
42.9,1.9,0.4,2.2,-8.572114309
43,1.9,0.4,2.2,-8.340103343
43.1,1.9,0.4,2.2,-8.129001981
43.2,1.9,0.4,2.2,-7.934311809
43.3,1.9,0.4,2.2,-7.7531631
43.4,1.9,0.4,2.2,-7.583857505
43.5,1.9,0.4,2.2,-7.425429253
43.6,1.9,0.4,2.2,-7.277320349
43.7,1.9,0.4,2.2,-7.139175008
43.8,1.9,0.4,2.2,-7.01072445
43.9,1.9,0.4,2.2,-6.891729884
44,1.9,0.4,2.2,-6.781959081
44.1,1.9,0.4,2.2,-6.68118056
44.2,1.9,0.4,2.2,-6.589166027
44.3,1.9,0.4,2.2,-6.505695997
44.4,1.9,0.4,2.2,-6.430566064
44.5,1.9,0.4,2.2,-6.363592695
44.6,1.9,0.4,2.2,-6.304618141
44.7,1.9,0.4,2.2,-6.253514421
44.8,1.9,0.4,2.2,-6.210186471
44.9,1.9,0.4,2.2,-6.174574616
45,1.9,0.4,2.2,-6.146656501
45.1,1.9,0.4,2.2,-6.126448605
45.2,1.9,0.4,2.2,-6.114007416
45.3,1.9,0.4,2.2,-6.109430321
45.4,1.9,0.4,2.2,-6.112856232
45.5,1.9,0.4,2.2,-6.124465902
45.6,1.9,0.4,2.2,-6.144481895
45.7,1.9,0.4,2.2,-6.17316809
45.8,1.9,0.4,2.2,-6.210828589
45.9,1.9,0.4,2.2,-6.257805828
46,1.9,0.4,2.2,-6.314477648
46.1,1.9,0.4,2.2,-6.381253036
46.2,1.9,0.4,2.2,-6.458566138
46.3,1.9,0.4,2.2,-6.546868126
46.4,1.9,0.4,2.2,-6.646616376
46.5,1.9,0.4,2.2,-6.758260371
46.6,1.9,0.4,2.2,-6.882223627
46.7,1.9,0.4,2.2,-7.018880908
46.8,1.9,0.4,2.2,-7.168529941
46.9,1.9,0.4,2.2,-7.331356842
47,1.9,0.4,2.2,-7.507394565
47.1,1.9,0.4,2.2,-7.696473888
47.2,1.9,0.4,2.2,-7.898166854
47.3,1.9,0.4,2.2,-8.111723261
47.4,1.9,0.4,2.2,-8.33600187
47.5,1.9,0.4,2.2,-8.569399548
47.6,1.9,0.4,2.2,-8.809783753
47.7,1.9,0.4,2.2,-9.054436532
47.8,1.9,0.4,2.2,-9.30002143
47.9,1.9,0.4,2.2,-9.542587771
48,1.9,0.4,2.2,-9.777628756
48.1,1.9,0.4,2.2,-10.000209
48.2,1.9,0.4,2.2,-10.20517167
48.3,1.9,0.4,2.2,-10.38742407
48.4,1.9,0.4,2.2,-10.54228289
48.5,1.9,0.4,2.2,-10.66584104
48.6,1.9,0.4,2.2,-10.75530149
48.7,1.9,0.4,2.2,-10.80921928
48.8,1.9,0.4,2.2,-10.82760494
48.9,1.9,0.4,2.2,-10.81186947
49,1.9,0.4,2.2,-10.76462517
20,2,0.4,2.2,-2.714625183
20.1,2,0.4,2.2,-2.569236034
20.2,2,0.4,2.2,-2.410496436
20.3,2,0.4,2.2,-2.254827888
20.4,2,0.4,2.2,-2.114958685
20.5,2,0.4,2.2,-1.997519824
20.6,2,0.4,2.2,-1.903799301
20.7,2,0.4,2.2,-1.831863779
20.8,2,0.4,2.2,-1.778501009
20.9,2,0.4,2.2,-1.740429252
21,2,0.4,2.2,-1.714855066
21.1,2,0.4,2.2,-1.699633066
21.2,2,0.4,2.2,-1.693236227
21.3,2,0.4,2.2,-1.6946598
21.4,2,0.4,2.2,-1.703318283
21.5,2,0.4,2.2,-1.718958929
21.6,2,0.4,2.2,-1.741598144
